SYMBOL, SERIES, DATE, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 12-Feb-2021,38.95,39.65,39.9,37.7,38.2,38.25,38.96,265219,103.33,1160,141196,53.24
21STCENMGM, EQ, 12-Feb-2021,12.05,12.25,12.25,12.25,12.25,12.25,12.25,14565,1.78,33,14565,100
3IINFOTECH, EQ, 12-Feb-2021,6.6,6.9,6.9,6.9,6.9,6.9,6.9,959621,66.21,819,959621,100
3MINDIA, EQ, 12-Feb-2021,20963.25,20800,21035.85,20675,20702,20710.9,20777.22,2154,447.54,1137,999,46.38
3PLAND, EQ, 12-Feb-2021,9.5,9.9,9.9,9.45,9.45,9.5,9.63,12059,1.16,94,6414,53.19
509GS2022, GS, 12-Feb-2021,79.04,75.11,82.99,75.11,82.99,82.99,75.28,46,0.03,2,46,100
5PAISA, EQ, 12-Feb-2021,252.05,256.9,258.5,250.65,253.6,252.85,255.24,23789,60.72,694,13211,55.53
619GS2034, GS, 12-Feb-2021,99.5,99.5,99.5,99.5,99.5,99.5,99.5,200,0.2,2,200,100
63MOONS, EQ, 12-Feb-2021,78.1,79.9,84.2,78,82.8,82.7,82.2,199490,163.99,2539,119680,59.99
667GS2050, GS, 12-Feb-2021,103,100,100,100,100,100,100,160,0.16,1,160,100
68GS2060, GS, 12-Feb-2021,110.4,108,108,108,108,108,108,200,0.22,1,200,100
757GS2033, GS, 12-Feb-2021,111.2,111.6,112.5,105.7,105.7,105.7,110.55,64,0.07,5,60,93.75
824GS2027, GS, 12-Feb-2021,112,112,112,112,112,112,112,100,0.11,2,100,100
A2ZINFRA, EQ, 12-Feb-2021,4.2,4.2,4.55,4.15,4.45,4.45,4.32,443660,19.17,429,319897,72.1
AAKASH, BE, 12-Feb-2021,110.45,110.5,115.95,109.2,111,112.2,111.73,10230,11.43,151, -, -
AARON, EQ, 12-Feb-2021,55.75,55.9,61.1,53.95,58.6,58.1,58.15,23592,13.72,248,15253,64.65
AARTIDRUGS, EQ, 12-Feb-2021,662.15,662.25,668.7,652.5,654,656,660.14,227265,1500.26,10846,117608,51.75
AARTIIND, EQ, 12-Feb-2021,1209.2,1211.95,1237,1205,1210.05,1214.15,1222.38,322784,3945.63,15985,124331,38.52
AARTISURF, EQ, 12-Feb-2021,908.2,908.25,917.95,889,899,895.8,900.82,18401,165.76,2325,11894,64.64
AARVEEDEN, EQ, 12-Feb-2021,20.4,20.35,20.8,18.7,18.8,18.95,19.12,70333,13.45,454,56706,80.63
AARVI, EQ, 12-Feb-2021,44.15,47.5,47.5,44.45,46.15,46.65,46.31,22017,10.2,264,14014,63.65
AAVAS, EQ, 12-Feb-2021,2364.55,2370,2370,2277.1,2300,2300.2,2328.92,95779,2230.61,11775,44748,46.72
ABAN, EQ, 12-Feb-2021,29.05,29,29.45,28.65,28.7,28.95,29.05,85679,24.89,542,50496,58.94
ABB, EQ, 12-Feb-2021,1423.35,1429,1480,1425.6,1471.9,1466.85,1450.61,224960,3263.28,20241,125057,55.59
ABBOTINDIA, EQ, 12-Feb-2021,14434.55,14400,14460,14375,14438.7,14439.1,14424.75,12309,1775.54,3229,8094,65.76
ABCAPITAL, EQ, 12-Feb-2021,89.05,89.35,89.7,88.15,88.55,88.7,88.95,1305619,1161.33,7517,453516,34.74
ABFRL, EQ, 12-Feb-2021,167.85,168.6,168.85,164.5,166.85,166.45,166.5,1456945,2425.87,13663,399041,27.39
ABINFRA, SM, 12-Feb-2021,7.25,7.25,7.25,6.9,6.9,6.9,6.99,16000,1.12,4,12000,75
ABMINTLTD, EQ, 12-Feb-2021,40.75,42.75,42.75,42.75,42.75,42.75,42.75,765,0.33,10,765,100
ABSLBANETF, EQ, 12-Feb-2021,355.63,356.54,358.77,356.1,358.77,358.77,357.28,2363,8.44,5,1363,57.68
ABSLNN50ET, EQ, 12-Feb-2021,330.95,338,347,331.15,344,344,346.31,524,1.81,23,514,98.09
ABSLRIF6RG, MF, 12-Feb-2021,7.99,8.43,8.43,8.06,8.06,8.06,8.07,503,0.04,4,503,100
ACC, EQ, 12-Feb-2021,1775.95,1751,1813.6,1716.1,1763.55,1765.75,1772.21,3673122,65095.43,109772,795063,21.65
ACCELYA, EQ, 12-Feb-2021,905.7,915,930,901.05,905,910,913.1,8736,79.77,1084,2956,33.84
ACCURACY, EQ, 12-Feb-2021,55.85,58.25,58.25,53.1,55,55.05,54.65,36891,20.16,222,29056,78.76
ACE, EQ, 12-Feb-2021,162.2,163,164.85,161.8,164,164.4,163.89,332392,544.77,2698,146829,44.17
